,bq_id,bq_year,bq_terminate_any_ind,bq_final_filing_any_ind,bq_fail_trans_contrib_pens_ind,bq_fail_trans_contrib_welf_ind,bq_fail_provide_benf_due_pens_ind,bq_fail_provide_benf_due_welf_ind,bq_vol_delinquent_filer_pgrm_ind,bq_amended_ind,bq_profit_plan_no_co_contribs_ind,bq_no_co_contribs_ind,bq_no_tot_contribs_ind,bq_pens_negative_contrib_ind,bq_terminate_pens_ind,bq_final_filing_pens_ind,bq_no_profit_sharing_ind,bq_fail_trans_contrib_any_ind,bq_fail_provide_benf_due_any_ind,bq_health_insurance_ind,bq_dental_insurance_ind,bq_vision_insurance_ind,bq_life_insurance_ind,bq_long_term_dis_insurance_ind,bq_temp_disability_insurance_ind,bq_supp_unemploy_ins_ind,bq_death_benefits_ind,bq_prepaid_legal_ind,bq_scholarship_funded_ind,bq_severance_pay_ind,bq_apprentice_and_training_ind,bq_welf_only_ind,bq_welf_ez_only_ind,bq_defined_contrib_pens_ind,bq_defined_benefit_pens_ind,bq_profit_sharing_ind,bq_code_section_401k_ind,bq_stock_bonus_ind,bq_comp_contribute_pens_ind,bq_target_benefit_plan_ind,bq_money_purchase_plan_ind,bq_plan_ins_fdlty_bond_ind,bq_pens_only_ind,bq_ez_only_ind,bq_growth_tot_contrib_per_emp_curr_a_1yr_ind,bq_growth_tot_contrib_pens_amt_a_1yr_ind,bq_growth_co_contrib_pens_amt_a_1yr_ind,bq_growth_co_contrib_per_emp_curr_a_1yr_ind,bq_growth_emp_contrib_pens_amt_a_1yr_ind,bq_growth_emp_contrib_per_emp_curr_a_1yr_ind,bq_growth_revenue_1yr_ind,bq_growth_ebitda_1yr_ind,bq_growth_cor_1yr_ind,bq_growth_net_income_1yr_ind,bq_growth_gross_profit_1yr_ind,bq_growth_total_assets_1yr_ind,bq_growth_operating_expenses_1yr_ind,bq_growth_operating_income_1yr_ind,bq_growth_tax_and_interest_1yr_ind,bq_growth_revenue_per_emp_1yr_ind,bq_growth_ebitda_per_emp_1yr_ind,bq_growth_cor_per_emp_1yr_ind,bq_growth_net_income_per_emp_1yr_ind,bq_growth_gross_profit_per_emp_1yr_ind,bq_growth_total_assets_per_emp_1yr_ind,bq_growth_operating_expenses_per_emp_1yr_ind,bq_growth_operating_income_per_emp_1yr_ind,bq_growth_tax_and_interest_per_emp_1yr_ind,bq_growth_savings_score_1yr_ind,bq_growth_welfare_score_1yr_ind,bq_growth_retirement_score_1yr_ind,bq_growth_credit_score_1yr_ind,bq_growth_benefits_score_1yr_ind,bq_growth_smb_default_score_1yr_ind,bq_revenue,bq_ebitda,bq_cor,bq_net_income,bq_gross_profit,bq_total_assets,bq_operating_expenses,bq_operating_income,bq_tax_and_interest,bq_gross_profit_margin,bq_ebitda_margin,bq_asset_turnover,bq_net_profit_margin,bq_return_on_assets,bq_return_on_sales,bq_revenue_per_emp,bq_ebitda_per_emp,bq_cor_per_emp,bq_net_income_per_emp,bq_gross_profit_per_emp,bq_total_assets_per_emp,bq_operating_expenses_per_emp,bq_operating_income_per_emp,bq_tax_and_interest_per_emp
0,385968350,2016,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21826755.0,1563723.0,11226528.0,437456.0,10600227.0,15065495.0,8806440.0,1793787.0,1356331.0,0.485652906261146,0.07164248648046859,1.448791095148218,0.020042191338107748,0.02903694833790725,0.08218294473915155,55966.0,4009.0,28785.0,1121.0,27180.0,38629.0,22580.0,4599.0,3477.0
1,385968350,2020,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30895324.0,2264126.0,16059616.0,738735.0,14835708.0,22341285.0,13295732.0,1539976.0,801241.0,0.4801926660487522,0.07328377588789811,1.3828803490936177,0.023910899914822058,0.03306591362135168,0.04984495388363625,56584.0,4146.0,29413.0,1352.0,27171.0,40918.0,24351.0,2820.0,1467.0
2,902965274,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8395804.0,2663960.0,1646032.0,1231238.0,6749772.0,56657933.0,4772877.0,1976895.0,745657.0,0.8039458758208267,0.3172965924407001,0.14818408571311628,0.14664920715157234,0.021731078682309148,0.23546226186318786,645831.0,204920.0,126617.0,94710.0,519213.0,4358302.0,367144.0,152068.0,57358.0
3,133533004,2020,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97606.0,12514.0,54017.0,2101.0,43589.0,206536.0,34919.0,8670.0,6569.0,0.4465811527979837,0.12820933139356186,0.4725858930162296,0.02152531606663525,0.010172560715807414,0.08882650656721923,48803.0,6257.0,27008.0,1050.0,21794.0,103268.0,17459.0,4335.0,3284.0
4,560821475,2020,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241957.0,32723.0,143432.0,13493.0,98525.0,196559.0,77756.0,20769.0,7276.0,0.4072004529730489,0.1352430390523936,1.2309637309917123,0.05576610720086627,0.06864605538286214,0.08583756617911448,241957.0,32723.0,143432.0,13493.0,98525.0,196559.0,77756.0,20769.0,7276.0
5,392538354,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5457687.0,984236.0,3076250.0,374786.0,2381437.0,7673212.0,1647201.0,734236.0,359450.0,0.4363454701597948,0.18033940018912767,0.7112649826435136,0.0686712154801109,0.04884343088657005,0.13453244936911918,139940.0,25236.0,78878.0,9609.0,61062.0,196749.0,42235.0,18826.0,9216.0
6,392538354,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3972693.0,659884.0,2228981.0,165366.0,1743712.0,5608031.0,1253988.0,489724.0,324358.0,0.4389244273343045,0.16610495701530426,0.7083935520327901,0.041625668029218466,0.029487354830955825,0.12327255088676622,124146.0,20621.0,69655.0,5167.0,54491.0,175250.0,39187.0,15303.0,10136.0
7,392538354,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,392538354,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4975882.0,907818.0,2752433.0,306190.0,2223449.0,7098367.0,1505599.0,717850.0,411660.0,0.44684520251887,0.1824436351183569,0.7009896783302413,0.06153481935463904,0.043135273225517926,0.1442658809031243,124397.0,22695.0,68810.0,7654.0,55586.0,177459.0,37639.0,17946.0,10291.0
9,392538354,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4963714.0,652843.0,2896344.0,-139265.0,2067370.0,9470912.0,1751321.0,316049.0,455314.0,0.41649659911912734,0.1315230893641334,0.5241009524742707,-0.028056612447856583,-0.014704497307123116,0.06367187956437458,118183.0,15543.0,68960.0,-3315.0,49223.0,225497.0,41698.0,7524.0,10840.0
10,392538354,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
11,392538354,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,392538354,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
13,392538354,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
