,Table name,Field description,Field name,Data frequency,Data type,Category,Level of aggregation of statistic,Statistic if aggregated,Public companies only
2,statistics_by_us_ts,Asset Turnover U.S. Public Companies Average,bq_asset_turnover_us_pub_avg,Annual Time Series (TS),Float,"Macro, industry & regional metrics",U.S.,Average,TRUE
3,statistics_by_us_ts,Asset Turnover U.S. Public Companies Median,bq_asset_turnover_us_pub_med,Annual Time Series (TS),Float,"Macro, industry & regional metrics",U.S.,Median,TRUE
4,statistics_by_us_ts,Asset Turnover U.S. Public Companies Total,bq_asset_turnover_us_pub_tot,Annual Time Series (TS),Integer,"Macro, industry & regional metrics",U.S.,Total,TRUE
5,statistics_by_us_ts,Cost of Revenue (COR) Per Employee U.S. Public Companies Average,bq_cor_per_emp_us_pub_avg,Annual Time Series (TS),Float,"Macro, industry & regional metrics",U.S.,Average,TRUE
6,statistics_by_us_ts,Cost of Revenue (COR) Per Employee U.S. Public Companies Median,bq_cor_per_emp_us_pub_med,Annual Time Series (TS),Float,"Macro, industry & regional metrics",U.S.,Median,TRUE
7,statistics_by_us_ts,Cost of Revenue (COR) Per Employee U.S. Public Companies Total,bq_cor_per_emp_us_pub_tot,Annual Time Series (TS),Integer,"Macro, industry & regional metrics",U.S.,Total,TRUE
8,statistics_by_us_ts,Cost of Revenue (COR) U.S. Public Companies Average,bq_cor_us_pub_avg,Annual Time Series (TS),Float,"Macro, industry & regional metrics",U.S.,Average,TRUE
9,statistics_by_us_ts,Cost of Revenue (COR) U.S. Public Companies Median,bq_cor_us_pub_med,Annual Time Series (TS),Float,"Macro, industry & regional metrics",U.S.,Median,TRUE
10,statistics_by_us_ts,Cost of Revenue (COR) U.S. Public Companies Total,bq_cor_us_pub_tot,Annual Time Series (TS),Integer,"Macro, industry & regional metrics",U.S.,Total,TRUE
11,statistics_by_us_ts,EBITDA Margin U.S. Public Companies Average,bq_ebitda_margin_us_pub_avg,Annual Time Series (TS),Float,"Macro, industry & regional metrics",U.S.,Average,TRUE
12,statistics_by_us_ts,EBITDA Margin U.S. Public Companies Median,bq_ebitda_margin_us_pub_med,Annual Time Series (TS),Float,"Macro, industry & regional metrics",U.S.,Median,TRUE
